customer_id,customer_name,customer_mobile,frequency
XttdvLGLu,ting.XttdvLGLu,+886974890818,11
KalgeelAB,mark.KalgeelAB,+886917020620,10
NMMCLn3sz,rex.NMMCLn3sz,+886953040937,15
fvjp3IqMA,tom.fvjp3IqMA,+886937064720,4
oWSANROhK,mark.oWSANROhK,+886979748086,11
GiElwDuCn,ting.GiElwDuCn,+886973736554,11
qs95l93nb,mark.qs95l93nb,+886926963008,11
MDUjgwHjW,vivian.MDUjgwHjW,+886985298657,1
tb3SaAyUA,peter.tb3SaAyUA,+886918503231,16
tdzEiqMgX,kevin.tdzEiqMgX,+886985468727,3
E6Nov1LEu,clara.E6Nov1LEu,+886906343236,0
VxfJ9mwrN,peter.VxfJ9mwrN,+886989065377,17
Ek2VQWHbE,ting.Ek2VQWHbE,+886957760368,8
uw5fFXdYt,ting.uw5fFXdYt,+886912883214,18
Me6zhPiON,mark.Me6zhPiON,+886989353834,12
FqyXTHVa9,mark.FqyXTHVa9,+886900013381,19
UTPKwYPHP,tom.UTPKwYPHP,+886963505080,12
Lmj1Ry9Ss,mark.Lmj1Ry9Ss,+886945223966,18
J8bp2I8xa,kevin.J8bp2I8xa,+886959333471,12
bUzdR6nIL,hank.bUzdR6nIL,+886970490756,1
wipz2LplX,ting.wipz2LplX,+886919712497,3
zZgHmK65V,mark.zZgHmK65V,+886967419730,14
bhIGxUVKY,rex.bhIGxUVKY,+886922216824,16
WzL0Zmfpy,rex.WzL0Zmfpy,+886962215949,7
JNGSPGBgg,mark.JNGSPGBgg,+886901693322,10
A1FkYTKpU,peter.A1FkYTKpU,+886931203462,19
zCQIUHZTj,kevin.zCQIUHZTj,+886941395839,14
d3CpdYmAx,ting.d3CpdYmAx,+886918330161,18
asGs5eQHt,kevin.asGs5eQHt,+886973263022,14
QSn0MCE0H,vivian.QSn0MCE0H,+886966725333,19
oMCiPrIeD,peter.oMCiPrIeD,+886952135774,13
ZralfZPVd,rex.ZralfZPVd,+886924024234,6
AzgCrhyck,kevin.AzgCrhyck,+886957167500,19
oC2l2hLg3,ting.oC2l2hLg3,+886935626083,3
cBhdZBhs8,mark.cBhdZBhs8,+886930278908,1
qgPTqdCiK,vivian.qgPTqdCiK,+886970886570,0
xxRGAAZZo,peter.xxRGAAZZo,+886900919992,11
fEWUwy3kK,peter.fEWUwy3kK,+886900166348,8
WyPnLb0yA,tom.WyPnLb0yA,+886999591576,8
sN7M0hwZf,clara.sN7M0hwZf,+886992961708,2
kKBQm7TCx,rex.kKBQm7TCx,+886999789570,7
Wf0dLbpoC,hank.Wf0dLbpoC,+886928232405,1
c9uBvcgKx,clara.c9uBvcgKx,+886953558059,15
AYqIMQ3LW,mark.AYqIMQ3LW,+886913195205,1
oMdMpCLIY,tom.oMdMpCLIY,+886905363069,5
WBGSRpCWa,peter.WBGSRpCWa,+886933450757,1
na6KJTNoN,hank.na6KJTNoN,+886969429151,9
eILSc6mqL,kevin.eILSc6mqL,+886993017111,18
v6YGq9AW4,vivian.v6YGq9AW4,+886948738801,1
O85aj2GYr,hank.O85aj2GYr,+886907634146,18
ZstQ3Teq9,kevin.ZstQ3Teq9,+886962523691,18
GiOI35rUK,clara.GiOI35rUK,+886989968717,6
sFoQlRiAI,rex.sFoQlRiAI,+886950943060,11
uFF34yDuT,kevin.uFF34yDuT,+886909545016,18
b44OZGCCG,kevin.b44OZGCCG,+886977104862,0
nHfj6kEPl,clara.nHfj6kEPl,+886987296978,9
NqFLgHQwe,peter.NqFLgHQwe,+886959754531,11
cU3EY0o3X,peter.cU3EY0o3X,+886988788711,9
xmusNXad4,peter.xmusNXad4,+886958772517,12
dGX7qQL5z,ting.dGX7qQL5z,+886952775734,17
L8aiC5qeK,tom.L8aiC5qeK,+886947887582,2
Hkm7uwPv3,ting.Hkm7uwPv3,+886954968459,9
Ttv5cdSzR,rex.Ttv5cdSzR,+886921770185,3
iEI2vfXJx,hank.iEI2vfXJx,+886933471960,18
BKeQ5vbAP,peter.BKeQ5vbAP,+886983191536,19
